"","ID_Buzzard","sex","year","min_age","laying_date"
"933",306,2,2009,10,93
"934",306,2,2008,9,98
"935",306,2,2007,8,95
"936",306,2,2006,7,102
"937",306,2,2005,6,97
"938",306,2,2004,5,104
"939",306,2,2003,4,95
"940",306,2,2001,2,96
"941",306,2,2000,1,99
"942",307,1,2015,15,94
"943",307,1,2014,14,91
"944",307,1,2012,12,96
"945",307,1,2011,11,103
"946",307,1,2010,10,105
"947",307,1,2009,9,93
"948",307,1,2008,8,98
"949",307,1,2007,7,95
"950",307,1,2006,6,102
"951",307,1,2005,5,97
"952",307,1,2004,4,104
"953",307,1,2003,3,95
"954",307,1,2001,1,96
"955",308,2,2013,10,112
"956",308,2,2012,9,92
"957",308,2,2011,8,99
"958",308,2,2010,7,93
"959",308,2,2009,6,95
"960",308,2,2007,4,94
"961",308,2,2006,3,101
"962",308,2,2005,2,96
"963",308,2,2004,1,100
"964",309,2,2015,15,90
"965",309,2,2014,14,91
"966",309,2,2012,12,95
"967",309,2,2010,10,96
"968",309,2,2009,9,104
"969",309,2,2007,7,95
"970",309,2,2006,6,100
"971",309,2,2005,5,102
"972",309,2,2004,4,105
"973",309,2,2003,3,96
"974",309,2,2001,1,99
"975",310,2,2015,17,94
"976",310,2,2014,16,90
"977",310,2,2012,14,103
"978",310,2,2011,13,100
"979",310,2,2010,12,96
"980",310,2,2009,11,101
"981",310,2,2007,9,102
"982",310,2,2004,6,108
"983",310,2,2003,5,111
"984",310,2,2001,3,106
"985",310,2,1999,1,123
"986",311,2,2001,2,103
